index,Sector,Indicator,Unit,Country_code,Country,Year,Variable,Value
14144,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,PH,Philippines,2014,historic,3.146853147
14145,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,PH,Philippines,2015,historic,3.363914373
14146,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,PH,Philippines,2016,historic,3.658536585
14147,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,PH,Philippines,2017,historic,3.753351206
14148,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1990,historic,2.802739898
14149,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1991,historic,2.189115233
14150,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1992,historic,2.33342511
14151,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1993,historic,0.978062157
14152,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1994,historic,1.238510671
14153,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1995,historic,1.362746273
14154,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1996,historic,1.426307448
14155,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1997,historic,0.736241487
14156,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1998,historic,0.973084886
14157,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,1999,historic,1.12376537
14158,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2000,historic,0.16132354
14159,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2001,historic,0.84958417
14160,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2002,historic,0.098292621
14161,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2003,historic,0.080453465
14162,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2004,historic,0.034101243
14163,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2005,historic,0.0637501
14164,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2006,historic,1.37666441
14165,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2007,historic,1.97609081
14166,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2008,historic,2.299317517
14167,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2009,historic,2.474825055
14168,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2010,historic,0.73724565
14169,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2011,historic,0.98169587
14170,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2012,historic,0.409242358
14171,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2013,historic,0.650707891
14172,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2014,historic,0.38178733
14173,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2015,historic,0.557038795
14174,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2016,historic,0.506867745
14175,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,RU,Russia,2017,historic,0.5598556
14176,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2004,historic,0
14177,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2005,historic,0
14178,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2006,historic,0
14179,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2007,historic,0
14180,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2008,historic,0
14181,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2009,historic,0
14182,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2010,historic,0
14183,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2011,historic,0
14184,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2012,historic,0
14185,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2013,historic,0
14186,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2014,historic,0
14187,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2015,historic,0
14188,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2016,historic,0
14189,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,SA,Saudi Arabia,2017,historic,0
14190,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1990,historic,5.427974948
14191,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1991,historic,4.100946372
14192,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1992,historic,3.598484848
14193,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1993,historic,78.31526272
14194,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1994,historic,70.44609665
14195,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1995,historic,76.96709585
14196,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1996,historic,82.78628738
14197,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1997,historic,80.58419244
14198,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1998,historic,86.51551313
14199,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,1999,historic,82.49185668
14200,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2000,historic,81.88347965
14201,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2001,historic,15.7455683
14202,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2002,historic,14.75076297
14203,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2003,historic,16.99078813
14204,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2004,historic,18.73804971
14205,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2005,historic,52.41492865
14206,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2006,historic,59.44808232
14207,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2007,historic,56.58582977
14208,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2008,historic,54.87309645
14209,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2009,historic,52.91891892
14210,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2010,historic,4.255319149
14211,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2011,historic,1.923076923
14212,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2012,historic,1.851851852
14213,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2013,historic,2.695829095
14214,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2014,historic,6.431026019
14215,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2015,historic,5.947775629
14216,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2016,historic,5.68743818
14217,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,ZA,South Africa,2017,historic,5.902777778
14218,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1990,historic,1.223823769
14219,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1991,historic,1.001137656
14220,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1992,historic,0.983343367
14221,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1993,historic,1.211898641
14222,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1994,historic,1.939248327
14223,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1995,historic,2.694320605
14224,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1996,historic,2.713728272
14225,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1997,historic,3.211290652
14226,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1998,historic,3.671071953
14227,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,1999,historic,3.224391314
14228,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2000,historic,2.446338384
14229,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2001,historic,2.46618934
14230,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2002,historic,2.619008401
14231,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2003,historic,2.517231046
14232,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2004,historic,1.083276913
14233,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2005,historic,0.996329313
14234,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2006,historic,1.102651615
14235,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2007,historic,1.024103909
14236,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2008,historic,1.071870276
14237,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2009,historic,0.189145933
14238,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2010,historic,1.260451766
14239,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2011,historic,3.973219186
14240,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2012,historic,4.561852671
14241,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2013,historic,1.476216512
14242,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2014,historic,1.581113277
14243,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2015,historic,1.348232722
14244,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2016,historic,1.055276382
14245,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,KR,South Korea,2017,historic,0.164997054
14246,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1990,historic,0.675675676
14247,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1991,historic,0
14248,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1992,historic,0
14249,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1993,historic,0
14250,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1994,historic,0
14251,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1995,historic,0
14252,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1996,historic,0
14253,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1997,historic,0
14254,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1998,historic,0
14255,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,1999,historic,0
14256,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2000,historic,0
14257,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2001,historic,0
14258,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2002,historic,0
14259,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2003,historic,0
14260,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2004,historic,0
14261,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2005,historic,0
14262,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2006,historic,0
14263,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2007,historic,0
14264,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2008,historic,0
14265,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2009,historic,0
14266,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2010,historic,0
14267,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2011,historic,0
14268,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2012,historic,0
14269,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2013,historic,0
14270,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2014,historic,0
14271,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2015,historic,0
14272,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2016,historic,0
14273,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,CH,Switzerland,2017,historic,0
14274,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1990,historic,18.62940785
14275,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1991,historic,11.05398458
14276,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1992,historic,8.605072464
14277,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1993,historic,4.410441044
14278,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1994,historic,2.245088868
14279,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1995,historic,6.480648065
14280,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1996,historic,4.591439689
14281,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1997,historic,4.967948718
14282,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1998,historic,6.371406371
14283,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,1999,historic,4.587155963
14284,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2000,historic,6.643109541
14285,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2001,historic,4.747320061
14286,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2002,historic,6.74386921
14287,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2003,historic,3.175554224
14288,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2004,historic,2.484742807
14289,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2005,historic,1.867219917
14290,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2006,historic,1.966783217
14291,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2007,historic,2.871912694
14292,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2008,historic,5.436720143
14293,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2009,historic,15.69255404
14294,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2010,historic,26.41392169
14295,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2011,historic,20.48300537
14296,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2012,historic,20.73222648
14297,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2013,historic,22.99074525
14298,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2014,historic,23.05209774
14299,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2015,historic,21.75093315
14300,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2016,historic,19.69335605
14301,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,TR,Turkey,2017,historic,18.37416481
14302,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1990,historic,0
14303,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1991,historic,0
14304,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1992,historic,0
14305,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1993,historic,0
14306,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1994,historic,0
14307,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1995,historic,0
14308,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1996,historic,0
14309,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1997,historic,0
14310,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1998,historic,0
14311,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,1999,historic,0
14312,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2000,historic,0
14313,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2001,historic,0
14314,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2002,historic,0
14315,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2003,historic,0
14316,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2004,historic,0
14317,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2005,historic,0
14318,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2006,historic,0
14319,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2007,historic,0
14320,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2008,historic,0
14321,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2009,historic,0
14322,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2010,historic,0
14323,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2011,historic,0
14324,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2012,historic,0
14325,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2013,historic,0
14326,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2014,historic,0
14327,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2015,historic,0
14328,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2016,historic,0
14329,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,AE,United Arab Emirates,2017,historic,0
14330,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1990,historic,0
14331,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1991,historic,0
14332,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1992,historic,0
14333,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1993,historic,0
14334,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1994,historic,0
14335,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1995,historic,0
14336,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1996,historic,0
14337,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1997,historic,0
14338,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1998,historic,0
14339,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,1999,historic,0
14340,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2000,historic,0
14341,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2001,historic,0
14342,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2002,historic,0
14343,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2003,historic,0
14344,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2004,historic,2.102607233
14345,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2005,historic,0.335008375
14346,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2006,historic,0.428449015
14347,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2007,historic,0.668449198
14348,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2008,historic,0.612323
14349,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2009,historic,0.879765396
14350,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2010,historic,0.761904762
14351,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2011,historic,2.355140187
14352,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2012,historic,2.276490066
14353,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2013,historic,0.67114094
14354,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2014,historic,0.258843831
14355,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2015,historic,0.1998002
14356,Industry Chemicals,Coal share in energy supply in Primary Energy in chemical and petrochemicals industry,% coal,UA,Ukraine,2016,historic,0.198216056
